Row 1 | MS | CIK=0000895421 | Window=2020-01-19..2020-02-18 | no Exhibit 2.1 found
Row 1 | MS | CIK=0000895421 | Window=2020-01-19..2020-02-18 | no Exhibit 2.1 found
Row 2 | V | CIK=0001403161 | Window=2020-03-03..2020-04-02 | no Exhibit 2.1 found
Row 2 | PLD | CIK=0001045609 | Window=2020-03-03..2020-04-02 | no Exhibit 2.1 found
Row 5 | ORCL | CIK=0001341439 | Window=2021-02-01..2021-03-03 | no Exhibit 2.1 found
Row 5 | ORCL | CIK=0001341439 | Window=2021-02-01..2021-03-03 | no Exhibit 2.1 found
Row 6 | T | CIK=0000732717 | Window=2021-05-02..2021-06-01 | no Exhibit 2.1 found
Row 6 | T | CIK=0000732717 | Window=2021-05-02..2021-06-01 | no Exhibit 2.1 found
Row 7 | NVDA | CIK=0001045810 | Window=2021-10-18..2021-11-17 | no Exhibit 2.1 found
Row 7 | ARM | CIK=0001973239 | Window=2021-10-18..2021-11-17 | no Exhibit 2.1 found
Row 8 | MSFT | CIK=0000789019 | Window=2022-01-03..2022-02-02 | no Exhibit 2.1 found
Row 8 | MSFT | CIK=0000789019 | Window=2022-01-03..2022-02-02 | no Exhibit 2.1 found
Row 9 | BRK.A | CIK=0001067983 | Window=2022-03-06..2022-04-05 | no Exhibit 2.1 found
Row 9 | Y | CIK=0001067983 | Window=2022-03-06..2022-04-05 | no Exhibit 2.1 found
Row 10 | AVGO | CIK=0001730168 | Window=2022-06-26..2022-07-26 | no Exhibit 2.1 found
Row 10 | AVGO | CIK=0001730168 | Window=2022-06-26..2022-07-26 | no Exhibit 2.1 found
Row 12 | CVX | CIK=0000093410 | Window=2023-05-15..2023-06-14 | no Exhibit 2.1 found
Row 12 | CVX | CIK=0000093410 | Window=2023-05-15..2023-06-14 | no Exhibit 2.1 found
Row 13 | ADBE | CIK=0000796343 | Window=2023-11-27..2023-12-27 | no Exhibit 2.1 found
Row 13 | ADBE | CIK=0000796343 | Window=2023-11-27..2023-12-27 | no Exhibit 2.1 found
Row 14 | BLK | CIK=0002012383 | Window=2024-01-07..2024-02-06 | no Exhibit 2.1 found
Row 14 | BLK | CIK=0002012383 | Window=2024-01-07..2024-02-06 | no Exhibit 2.1 found
Row 15 | XOM | CIK=0000034088 | Window=2024-05-05..2024-06-04 | no Exhibit 2.1 found
Row 15 | XOM | CIK=0000034088 | Window=2024-05-05..2024-06-04 | no Exhibit 2.1 found
